drinks,caff_cont,fluid_oz,mg_per_oz,url
10 Hour Energy Shot,422,1.93,218.7,https://www.caffeineinformer.com/caffeine-content/10-hour-eternal-shot
28 Black Energy Drink,80,8.46,9.5,https://www.caffeineinformer.com/caffeine-content/28-energy-drink-black-white
3 Water ,50,16.9,3.0,https://www.caffeineinformer.com/caffeine-content/3-caffeine-water
3D Energy Drink,200,16.0,12.5,https://www.caffeineinformer.com/caffeine-content/3d-energy-drink
4 Purpose Energy Drink,70,8.46,8.3,https://www.caffeineinformer.com/caffeine-content/4-purpose
4C Energy Liquid Water Enhancers,60,8.0,7.5,https://www.caffeineinformer.com/caffeine-content/4c-energy-water-enhancers
4C Energy Rush,80,8.0,10.0,https://www.caffeineinformer.com/caffeine-content/4-c-energy-rush
5 Hour Energy,200,2.0,100.0,https://www.caffeineinformer.com/caffeine-content/5-hour-energy
5 Hour Energy Decaf,6,2.0,3.0,https://www.caffeineinformer.com/caffeine-content/5-hour-decaf
5 Hour Energy Extra Strength,230,2.0,115.0,https://www.caffeineinformer.com/caffeine-content/5-hour-extra-strength
7 Eleven Brewed Coffee,280,16.0,17.5,https://www.caffeineinformer.com/caffeine-content/7-eleven-brewed-coffee
7 Select Coffee Energy Shot,150,2.0,75.0,https://www.caffeineinformer.com/caffeine-content/7-eleven-coffee-energy
7-Eleven Energy Shot,260,2.0,130.0,https://www.caffeineinformer.com/caffeine-content/7-eleven-energy-shot
7-Up,0,12.0,0.0,https://www.caffeineinformer.com/caffeine-content/7-up
A&W Cream Soda,0,12.0,0.0,https://www.caffeineinformer.com/caffeine-content/a-w-cream-soda
A&W Root Beer,0,12.0,0.0,https://www.caffeineinformer.com/caffeine-content/aw-root-beer
ABB Turbo Tea,120,18.0,6.7,https://www.caffeineinformer.com/caffeine-content/diet-turbo-punch
Ace Energy Drink,160,16.0,10.0,https://www.caffeineinformer.com/caffeine-content/ace-energy-drink
Acute Fruit Energy Drink,213,15.5,13.7,https://www.caffeineinformer.com/caffeine-content/acute-fruit-energy-drink
Adrenaline Shoc,300,16.0,18.8,https://www.caffeineinformer.com/caffeine-content/adrenaline-shoc-energy-drink
Advocare Slam Energy Shot,120,2.0,60.0,https://www.caffeineinformer.com/caffeine-content/slam-energy-drink
Advocare Slim,120,8.0,15.0,https://www.caffeineinformer.com/caffeine-content/advocare-slim
Afri Cola,89,12.0,7.4,https://www.caffeineinformer.com/caffeine-content/afri-cola
AHA Sparkling Water,30,12.0,2.5,https://www.caffeineinformer.com/caffeine-content/aha-sparkling-water
Ale 8 1,37,12.0,3.1,https://www.caffeineinformer.com/caffeine-content/ale-8-1
Alpine Start Instant Coffee,120,8.0,15.0,https://www.caffeineinformer.com/caffeine-content/alpine-start
Alsa Energy Drink,100,16.0,6.2,https://www.caffeineinformer.com/caffeine-content/alsa-energy
Americano Coffee,154,12.0,12.8,https://www.caffeineinformer.com/caffeine-content/caffe-americano
Amp Energy Cherry Blast,160,16.0,10.0,https://www.caffeineinformer.com/caffeine-content/amp-cherry-blast
Amp Energy Drink,142,16.0,8.9,https://www.caffeineinformer.com/caffeine-content/amp-energy-drink
Amp Strawberry Limeade,156,16.0,9.8,https://www.caffeineinformer.com/caffeine-content/amp-strawberry-limeade
Arbonne Energy Fizz Stck,55,8.0,6.9,https://www.caffeineinformer.com/caffeine-content/arbonne-energy-drink
Arby's Jamocha Shake,12,16.0,0.7,https://www.caffeineinformer.com/caffeine-content/jamocha-shake
Archer Farms Energy Drink,100,12.0,8.3,https://www.caffeineinformer.com/caffeine-content/archer-farms-energy-drink
Arizona Arnold Palmer Half and Half,43,23.0,1.9,https://www.caffeineinformer.com/caffeine-content/arnold-palmer-half-and-half
Arizona Energy Drink Rx,144,11.5,12.5,https://www.caffeineinformer.com/caffeine-content/arizona-caution-energy-drink
Arizona Iced Tea,38,20.0,1.9,https://www.caffeineinformer.com/caffeine-content/arizona-iced-tea
Arizona Natural Energy,120,15.5,7.7,https://www.caffeineinformer.com/caffeine-content/arizona-natural-energy
Avitae Caffeinated Water,125,16.9,7.4,https://www.caffeineinformer.com/caffeine-content/avitae-caffeine-water
AXIO Energy Drink,100,12.0,8.3,https://www.caffeineinformer.com/caffeine-content/axio
B 63 Energy Drink,80,8.46,9.5,https://www.caffeineinformer.com/caffeine-content/b-63-energy-drink
Bai Antioxidant Infusion,70,18.0,3.9,https://www.caffeineinformer.com/caffeine-content/bai-drink
BANG Energy Drink,300,16.0,18.8,https://www.caffeineinformer.com/caffeine-content/bang-energy-drink
Barista Bros Iced Coffee,219,16.91,13.0,https://www.caffeineinformer.com/caffeine-content/barista-bros
Barq's Red Creme Soda,0,12.0,0.0,https://www.caffeineinformer.com/caffeine-content/barqs-red-creme-soda
Barq's Root Beer,22,12.0,1.8,https://www.caffeineinformer.com/caffeine-content/barqs-root-beer
Baskin Robbins Cappuccino Blast,234,24.0,9.8,https://www.caffeineinformer.com/caffeine-content/baskin-robbins-cappuccino-blast
Battery Energy Drink,106,11.2,9.5,https://www.caffeineinformer.com/caffeine-content/battery-energy-drink
Battery Juiced Energy Drink,144,15.0,9.6,https://www.caffeineinformer.com/caffeine-content/battery-juiced-energy-drink
Bawls,64,10.0,6.4,https://www.caffeineinformer.com/caffeine-content/bawls
Bawls Cherry,100,16.0,6.2,https://www.caffeineinformer.com/caffeine-content/bawls-cherry
Bawls Exxtra,150,16.0,9.4,https://www.caffeineinformer.com/caffeine-content/bawls-exxtra-energy-drink
Bawls Orange,64,10.0,6.4,https://www.caffeineinformer.com/caffeine-content/bawls-orange
Bawls Root Beer,100,16.0,6.2,https://www.caffeineinformer.com/caffeine-content/bawls-geek-beer
Bazi Energy Drink,80,2.0,40.0,https://www.caffeineinformer.com/caffeine-content/bazi-energy-drink
Beaver Buzz Energy Drink,178,16.0,11.1,https://www.caffeineinformer.com/caffeine-content/beaver-buzz-energy-drink
BEEBAD Energy Drink,80,8.46,9.5,https://www.caffeineinformer.com/caffeine-content/beebad-energy-drink
Berocca,90,8.0,11.2,https://www.caffeineinformer.com/caffeine-content/berocca
Berzerk Energy Drink,225,16.0,14.1,https://www.caffeineinformer.com/caffeine-content/berzerk
Big Jak Energy Drink,164,16.0,10.2,https://www.caffeineinformer.com/caffeine-content/big-red-jak-energy-drink
Big Red Soda,34,12.0,2.8,https://www.caffeineinformer.com/caffeine-content/big-red-soda
Big Train Java Chip Ice Coffee,49,8.0,6.1,https://www.caffeineinformer.com/caffeine-content/big-train-java-chip-ice-coffee
Big Train Spiced Chai,65,8.0,8.1,https://www.caffeineinformer.com/caffeine-content/big-train-spiced-chai
Bigelow Tea,45,8.0,5.6,https://www.caffeineinformer.com/caffeine-content/bigelow-tea
Biggby Brewed Coffee,200,16.0,12.5,https://www.caffeineinformer.com/caffeine-content/biggby-coffee
Biggby Creamy Lattes,100,16.0,6.2,https://www.caffeineinformer.com/caffeine-content/biggby-coffee-latte
Biggby Espresso,100,2.0,50.0,https://www.caffeineinformer.com/caffeine-content/biggby-espresso-shot
Biggby Frozen Lattes,100,16.0,6.2,https://www.caffeineinformer.com/caffeine-content/biggby-coffee-frozen-latte
Biggby Iced Coffee,192,16.0,12.0,https://www.caffeineinformer.com/caffeine-content/biggby-iced-coffee
Biggby Iced Tea,38,16.0,2.3,https://www.caffeineinformer.com/caffeine-content/biggby-iced-tea
Bing Energy Drink,120,12.0,10.0,https://www.caffeineinformer.com/caffeine-content/bing-energy-drink
Biohazard Coffee,928,12.0,77.3,https://www.caffeineinformer.com/caffeine-content/biohazard-coffee
Bizzy Cold Brew,750,16.0,46.9,https://www.caffeineinformer.com/caffeine-content/bizzy-coffee
Black Bruin Energy Drink,38,8.46,4.4,https://www.caffeineinformer.com/caffeine-content/black-bruin-energy-drink
Black Insomnia Coffee,1105,12.0,92.1,https://www.caffeineinformer.com/caffeine-content/black-insomnia-coffee
Black Label Brewed Coffee,1555,12.0,129.6,https://www.caffeineinformer.com/caffeine-content/black-label
Black Medicine Iced Coffee,206,11.0,18.7,https://www.caffeineinformer.com/caffeine-content/black-medicine
Blood Energy Potion,80,3.4,23.5,https://www.caffeineinformer.com/caffeine-content/blood-energy-potion
BLU Energy Drinks,80,8.4,9.5,https://www.caffeineinformer.com/caffeine-content/blu-energy-drinks
Blu Frog Energy Drink,80,8.46,9.5,https://www.caffeineinformer.com/caffeine-content/blu-frog-energy-drink
Blue Bolt,80,8.46,9.5,https://www.caffeineinformer.com/caffeine-content/blue-bolt-energy-drink
Blue Charge,80,8.46,9.5,https://www.caffeineinformer.com/caffeine-content/asda-blue-charge
Blue Spark Energy Drink,75,8.46,8.9,https://www.caffeineinformer.com/caffeine-content/tesco-blue-spark
Bomb Energy Drink,80,8.46,9.5,https://www.caffeineinformer.com/caffeine-content/bomb-energy-drink
Bomba Energy Drink,75,8.4,8.9,https://www.caffeineinformer.com/caffeine-content/bomba-energy-drink
Boost Energy Drink,80,8.46,9.5,https://www.caffeineinformer.com/caffeine-content/boost-energy-drink
Boost Nutritional Drink,5,8.0,0.6,https://www.caffeineinformer.com/caffeine-content/boost-chocolate-drink
Booty Sweat Energy Drink,80,8.4,9.5,https://www.caffeineinformer.com/caffeine-content/booty-sweat-energy-drink
Bottled Iced Coffee Dunkin Donuts,171,13.7,12.5,https://www.caffeineinformer.com/caffeine-content/iced-coffee-bottled-dunkin
Brew Dr Kombucha Uplift,130,14.0,9.3,https://www.caffeineinformer.com/caffeine-content/brew-dr-uplift
Brown Rice Tea,4,8.0,0.5,https://www.caffeineinformer.com/caffeine-content/brown-rice-tea
Bubly Sparkling Water,0,12.0,0.0,https://www.caffeineinformer.com/caffeine-content/bubly
Bulletproof Coffee,145,8.0,18.1,https://www.caffeineinformer.com/caffeine-content/bulletproof-coffee
Burn Energy Drink,160,16.91,9.5,https://www.caffeineinformer.com/caffeine-content/burn-uk
Buzz Monkey,78,8.46,9.2,https://www.caffeineinformer.com/caffeine-content/buzz-monkey-energy-drink
C4 On The Go,200,16.0,12.5,https://www.caffeineinformer.com/caffeine-content/c4-energy-drink
Cafe Bustelo,150,12.0,12.5,https://www.caffeineinformer.com/caffeine-content/bustelo-coffee
Cafe Viva Probiotic Coffee,125,8.0,15.6,https://www.caffeineinformer.com/caffeine-content/cafe-viva
Caffe Mocha,152,12.0,12.7,https://www.caffeineinformer.com/caffeine-content/cafe-mocha
