caff_str,item_img,drink_name
DANGEROUS,https://caffeineinformer.com/wp-content/caffeine/10-hour-eternal-shot.jpg,10 Hour Energy Shot
MODERATE,https://caffeineinformer.com/wp-content/caffeine/28-energy-drink-black-white.jpg,28 Black Energy Drink
MODERATE,https://caffeineinformer.com/wp-content/caffeine/3-caffeine-water.jpg,3 Water
VERY HIGH,https://caffeineinformer.com/wp-content/caffeine/3d-energy-drink.jpg,3D Energy Drink
MODERATE,https://caffeineinformer.com/wp-content/caffeine/4-purpose.jpg,4-Purpose
MODERATE,https://caffeineinformer.com/wp-content/caffeine/4c-energy-water-enhancers.jpg,4C Energy Liquid Water Enhancers
MODERATE,https://caffeineinformer.com/wp-content/caffeine/4-c-energy-rush.jpg,4C Energy Rush
VERY HIGH,https://caffeineinformer.com/wp-content/caffeine/5-hour-energy.jpg,5 Hour Energy
LOW,https://caffeineinformer.com/wp-content/caffeine/5-hour-decaf.jpg,5 Hour Energy Decaf
EXTREME,https://caffeineinformer.com/wp-content/caffeine/5-hour-extra-strength.jpg,5 Hour Energy Extra Strength
EXTREME,https://caffeineinformer.com/wp-content/caffeine/7-eleven-brewed-coffee.jpg,7 Eleven Brewed Coffee
HIGH,https://caffeineinformer.com/wp-content/caffeine/7-eleven-coffee-energy.jpg,7 Select Coffee Energy
EXTREME,https://caffeineinformer.com/wp-content/caffeine/7-eleven-energy-shot.jpg,7-Eleven Energy Shot
CAFFEINE FREE,https://caffeineinformer.com/wp-content/caffeine/7-up.jpg,7-Up
CAFFEINE FREE,https://caffeineinformer.com/wp-content/caffeine/a-w-cream-soda.jpg,A&W Cream Soda
CAFFEINE FREE,https://caffeineinformer.com/wp-content/caffeine/aw-root-beer.jpg,A&W Root Beer
HIGH,https://caffeineinformer.com/wp-content/caffeine/diet-turbo-punch.jpg,ABB Diet Turbo
VERY HIGH,https://caffeineinformer.com/wp-content/caffeine/ace-energy-drink.jpg,Ace Energy Drink
EXTREME,https://caffeineinformer.com/wp-content/caffeine/acute-fruit-energy-drink.jpg,Acute Fruit Energy Drink
EXTREME,https://caffeineinformer.com/wp-content/caffeine/adrenaline-shoc-energy-drink.jpg,Adrenaline Shoc
HIGH,https://caffeineinformer.com/wp-content/caffeine/slam-energy-drink.jpg,Advocare Slam Energy Shot
HIGH,https://caffeineinformer.com/wp-content/caffeine/advocare-slim.jpg,Advocare Slim
MODERATE,https://caffeineinformer.com/wp-content/caffeine/afri-cola.jpg,Afri Cola
LOW,https://caffeineinformer.com/wp-content/caffeine/aha-sparkling-water.jpg,AHA Sparkling Water
LOW,https://caffeineinformer.com/wp-content/caffeine/ale-8-1.jpg,Ale 8 1
HIGH,https://caffeineinformer.com/wp-content/caffeine/alpine-start.jpg,Alpine Start Instant Coffee
HIGH,https://caffeineinformer.com/wp-content/caffeine/alsa-energy.jpg,Alsa Energy Drink
VERY HIGH,https://caffeineinformer.com/wp-content/caffeine/caffe-americano.jpg,Americano Coffee
VERY HIGH,https://caffeineinformer.com/wp-content/caffeine/amp-cherry-blast.jpg,Amp Energy Cherry Blast
HIGH,https://caffeineinformer.com/wp-content/caffeine/amp-energy-drink.jpg,Mountain Dew Amp Energy Drink
VERY HIGH,https://caffeineinformer.com/wp-content/caffeine/amp-strawberry-limeade.jpg,Amp Strawberry Limeade
MODERATE,https://caffeineinformer.com/wp-content/caffeine/arbonne-energy-drink.jpg,Arbonne Energy Fizz Stick
LOW,https://caffeineinformer.com/wp-content/caffeine/jamocha-shake.jpg,Arby's Jamocha Shake
HIGH,https://caffeineinformer.com/wp-content/caffeine/archer-farms-energy-drink.jpg,Archer Farms Energy Drink
MODERATE,https://caffeineinformer.com/wp-content/caffeine/arnold-palmer-half-and-half.jpg,Arizona Arnold Palmer Half and Half
HIGH,https://caffeineinformer.com/wp-content/caffeine/arizona-caution-energy-drink.jpg,Arizona Energy Drink Rx
LOW,https://caffeineinformer.com/wp-content/caffeine/arizona-iced-tea.jpg,Arizona Iced Tea
HIGH,https://caffeineinformer.com/wp-content/caffeine/arizona-natural-energy.jpg,Arizona Natural Energy
HIGH,https://caffeineinformer.com/wp-content/caffeine/avitae-caffeine-water.jpg,Avitae Caffeinated Water
