food_name,caff_per_mg,serving_size,url,img_url
AeroLife Inhalable Caffeine,100,per dose,https://www.caffeineinformer.com//caffeine-content/aeroshot,https://cdn.caffeineinformer.com/wp-content/caffeine/aeroshot.jpg
Alert Caffeine Gum,40,per piece,https://www.caffeineinformer.com//caffeine-content/alert-energy-caffeine-gum,https://cdn.caffeineinformer.com/wp-content/caffeine/alert-energy-caffeine-gum.jpg
Alien Energy Jerky,110,per packs,https://www.caffeineinformer.com//caffeine-content/alien-energy-jerky,https://cdn.caffeineinformer.com/wp-content/caffeine/alien-energy-jerky.jpg
Anacin,32,per tablet,https://www.caffeineinformer.com//caffeine-content/anacin,https://cdn.caffeineinformer.com/wp-content/caffeine/anacin.jpg
Apples,0,per apple,https://www.caffeineinformer.com//caffeine-content/caffeine-content-apples,https://cdn.caffeineinformer.com/wp-content/caffeine/caffeine-content-apples.jpg
Arthriten,32,per tablet,https://www.caffeineinformer.com//caffeine-content/arthriten,https://cdn.caffeineinformer.com/wp-content/caffeine/arthriten.jpg
Awake Caffeinated Granola Bars,50,per bar,https://www.caffeineinformer.com//caffeine-content/awake-granola-bars,https://cdn.caffeineinformer.com/wp-content/caffeine/awake-granola-bars.jpg
Awake Chocolate,110,per bar,https://www.caffeineinformer.com//caffeine-content/awake-chocolate,https://cdn.caffeineinformer.com/wp-content/caffeine/awake-chocolate.jpg
Baking Chocolate (squares),23,per square (29g),https://www.caffeineinformer.com//caffeine-content/baking-chocolate,https://cdn.caffeineinformer.com/wp-content/caffeine/baking-chocolate.jpg
Bang!! Caffeinated Ice Cream,125,per scoop,https://www.caffeineinformer.com//caffeine-content/bang-caffeine-ice-cream,https://cdn.caffeineinformer.com/wp-content/caffeine/bang-caffeine-ice-cream.jpg
Ben and Jerry's Coffee Ice Cream,70,per cup (8oz),https://www.caffeineinformer.com//caffeine-content/ben-jerrys-coffee-ice-cream,https://cdn.caffeineinformer.com/wp-content/caffeine/ben-jerrys-coffee-ice-cream.jpg
BeON Energy Boost Gems,44,per piece,https://www.caffeineinformer.com//caffeine-content/energems,https://cdn.caffeineinformer.com/wp-content/caffeine/energems.jpg
Black Black Gum sticks,5,per piece,https://www.caffeineinformer.com//caffeine-content/black-black-gum,https://cdn.caffeineinformer.com/wp-content/caffeine/black-black-gum.jpg
Blast Power Gum,80,per piece,https://www.caffeineinformer.com//caffeine-content/blast-gum,https://cdn.caffeineinformer.com/wp-content/caffeine/blast-gum.jpg
Bolt 260,110,per tablet,https://www.caffeineinformer.com//caffeine-content/bolt-energy-pills,https://cdn.caffeineinformer.com/wp-content/caffeine/bolt-energy-pills.jpg
Breyers Coffee Ice Cream,30,per cup (8oz),https://www.caffeineinformer.com//caffeine-content/breyers-coffee-ice-cream,https://cdn.caffeineinformer.com/wp-content/caffeine/breyers-coffee-ice-cream.jpg
Buzz Bites Chocolate Chews,100,per chew,https://www.caffeineinformer.com//caffeine-content/buzz-bites-chocolate-chews,https://cdn.caffeineinformer.com/wp-content/caffeine/buzz-bites-chocolate-chews.jpg
Cacao (Cocoa) Nibs,22,per ounce,https://www.caffeineinformer.com//caffeine-content/cacao-nibs,https://cdn.caffeineinformer.com/wp-content/caffeine/cacao-nibs.jpg
Charged Chocolate,150,per bar,https://www.caffeineinformer.com//caffeine-content/charged-chocolate,https://cdn.caffeineinformer.com/wp-content/caffeine/charged-chocolate.jpg
Chocolate Covered Espresso Beans,7,per bean,https://www.caffeineinformer.com//caffeine-content/chocolate-espresso-beans,https://cdn.caffeineinformer.com/wp-content/caffeine/chocolate-espresso-beans.jpg
Clif Energy Bars,50,per bar,https://www.caffeineinformer.com//caffeine-content/clif-energy-bars,https://cdn.caffeineinformer.com/wp-content/caffeine/clif-energy-bars.jpg
Clif Shot Blok Pieces,16,per piece,https://www.caffeineinformer.com//caffeine-content/clif-shot-blok,https://cdn.caffeineinformer.com/wp-content/caffeine/clif-shot-blok.jpg
Cocoa Powder (Hershey's),8,per tablespoon,https://www.caffeineinformer.com//caffeine-content/cocoa-powder,https://cdn.caffeineinformer.com/wp-content/caffeine/cocoa-powder.jpg
Coffee (espresso) Beans,6,per roasted bean,https://www.caffeineinformer.com//caffeine-content/coffee-beans,https://cdn.caffeineinformer.com/wp-content/caffeine/coffee-beans.jpg
Coffee Flour,62,per tablespoon,https://www.caffeineinformer.com//caffeine-content/coffee-flour,https://cdn.caffeineinformer.com/wp-content/caffeine/coffee-flour.jpg
Crackheads,200,per box,https://www.caffeineinformer.com//caffeine-content/crackheads,https://cdn.caffeineinformer.com/wp-content/caffeine/crackheads.jpg
