supp,caff_source,serving_size,caff
ABB Speed Stacked Pumped,"Caffeine Anhydrous, Guarana",bottle,300
About Time AUX,"Yerba Mate’, Guarana, Green Tea",scoop,60
BANG Energy Drink,Caffeine Anhydrous,can,300
Hyde Power Potion,Caffeine Anhydrous,can,350
BPI B4,Caffeine Anhydrous,capsule,300
Adrenaline Shoc,Caffeine Anhydrous,can,300
BSN Endo Rush,"Caffeine Anhydrous, Green Tea, Green Coffee Beans",scoop,300
Raze,Caffeine Anhydrous,can,300
Celsius Heat,Caffeine Anhydrous,can,300
BSN N.O. Xplode 2.0,Caffeine Anhydrous,scoop,275
Reign Total Body Fuel,Caffeine Anhydrous,can,300
Rockstar Xdurance,Caffeine Anhydrous,can,300
Speed Stack,Caffeine Anhydrous,bottle,250
Cellucor C4 Extreme,Caffeine Anhydrous,scoop,200
Cellucor C4 Pre-Workout,Caffeine Anhydrous,scoop,150
Cellucor C4 Ripped,Caffeine Anhydrous,scoop,150
Nitro Surge,Caffeine Anhydrous,scoop,180
Insane labs Psychotic,Caffeine Anhydrous,scoop,300
Promix P,Caffeine Anhydrous,scoop,200
Evolution Nutrition ENGN,Caffeine Anhydrous/ VitaShure Caffeine,scoop,300
Naked Energy Pre-workout,Green coffee beans,scoop,200
DyNo by RSP Nutrition,Caffeine Anhydrous,scoop,300
EndurElite PerformElite,Caffeine Anhydrous/ Caffeine Pterostilbene Cocrystal,scoop,225
Vintage Blast Pre-workout,Caffeine Anhydrous/ Micro-encapsulated caffeine,scoop,250
GAT Nitraflex,?,scoop,325
GNC Hyper-Ripped,Caffeine Anhydrous,scoop,150
Legion Pulse,Caffeine Anhydrous,2 scoops,350
IdealLean Pre-Workout,Natural caffeine,scoop,150
iForce Maximize Intense,Caffeine Anhydrous,scoop,200
Pre-Kaged,Purecaf organic caffeine,scoop,274
Beyond Raw LIT,Caffeine Anhydrous,scoop,250
Six Star Explosion,Caffeine Anhydrous,scoop,135
Mr. Hyde Icon,Caffeine Anhydrous,scoop,250
Mr. Hyde by Pro Supps,Caffeine Anhydrous/ Dicaffeine Malate,scoop,196
Mr. Hyde Nitro X,Caffeine Anhydrous/ Dicaffeine Malate/ Caffeine Citric Acid,scoop,375
Muscle Marinade,"1,3,7-trimethylxanthine",scoop,300
Muscle Pharm Assault,Caffeine Anhydrous,scoop,250
MuscleTech Neurocore,Caffeine Anhydrous,scoop,110
Transparent Labs Lean,Caffeine Anhydrous,scoop,180
NANO Vaporx5,Caffeine Anhydrous,scoop,190
RARI Nutrition Infinity,Caffeine Anhydrous,scoop,350
Octane Energy/Sports Drink,Caffeine Anhydrous,scoop,225
ON Gold Standard Preworkout,Green coffee and green tea extract,scoop,175
ON AMIN.O. Energy,Green coffee and green tea extract,2 scoops,100
Oxyelite Pro,Caffeine Anhydrous,capsule,100
Pre JYM,Caffeine Anhydrous,scoop,300
Redline RTD,Caffeine Anhydrous,bottle,250
Cobra Labs The Curse,Caffeine Anhydrous,scoop,155
Recon1 Total War,Caffeine Anhydrous/ Dicaffeine Malate,scoop,350
Nutrex Research Outlift,Caffeine Anhydrous,scoop,350
